Account with existing transaction can not be converted to group.,Tài khoản có giao dịch hiện có không thể chuyển đổi thành nhóm.
Account with existing transaction can not be deleted,Tài khoản có giao dịch hiện có không thể xóa
Account with existing transaction cannot be converted to ledger,Tài khoản có giao dịch hiện có không thể chuyển đổi thành sổ cái
Account {0} does not belong to company: {1},Tài khoản {0} không thuộc về công ty: {1}
Account {0} does not belongs to company {1},Tài khoản {0} không thuộc về công ty {1}
Account {0} does not exist,Tài khoản {0} không tồn tại
Account {0} does not exists,Tài khoản {0} không tồn tại
Account {0} does not match with Company {1} in Mode of Account: {2},Tài khoản {0} không khớp với Công ty {1} trong Hình thức tài khoản: {2}
Account {0} has been entered multiple times,Tài khoản {0} đã được nhập nhiều lần
Account {0} is added in the child company {1},Tài khoản {0} được thêm vào công ty con {1}
Account {0} is frozen,Tài khoản {0} đã bị đóng băng
Account {0} is invalid. Account Currency must be {1},Tài khoản {0} không hợp lệ. Tiền tệ tài khoản phải là {1}
Account {0}: Parent account {1} can not be a ledger,Tài khoản {0}: Tài khoản mẹ {1} không thể là sổ cái
Account {0}: Parent account {1} does not belong to company: {2},Tài khoản {0}: Tài khoản mẹ {1} không thuộc về công ty: {2}
Account {0}: Parent account {1} does not exist,Tài khoản {0}: Tài khoản mẹ {1} không tồn tại
Account {0}: You can not assign itself as parent account,Tài khoản {0}: Bạn không thể gán chính nó làm tài khoản mẹ
Account: {0} can only be updated via Stock Transactions,Tài khoản: {0} chỉ có thể được cập nhật thông qua Giao dịch Kho
Account: {0} with currency: {1} can not be selected,Tài khoản: {0} với tiền tệ: {1} không thể chọn
Accountant,Kế toán
Accounting,Kế toán
Accounting Entry for Asset,Hạch toán tài sản
Accounting Entry for Stock,Hạch toán kho
Accounting Entry for {0}: {1} can only be made in currency: {2},Hạch toán cho {0}: {1} chỉ có thể được lập bằng tiền tệ: {2}
Accounting Ledger,Sổ cái kế toán
Accounting journal entries.,Các bút toán nhật ký kế toán.
Accounts,Các tài khoản
Accounts Manager,Quản lý tài khoản
Accounts Payable,Phải trả người bán
Accounts Payable Summary,Bảng tổng hợp công nợ phải trả
Accounts Receivable,Phải thu khách hàng
Accounts Receivable Summary,Bảng tổng hợp công nợ phải thu
Accounts User,Người dùng kế toán
Accounts table cannot be blank.,Bảng tài khoản không được để trống.
Accumulated Depreciation,Hao mòn lũy kế
Accumulated Depreciation Amount,Số tiền hao mòn lũy kế
Accumulated Depreciation as on,Hao mòn lũy kế tính đến
Accumulated Monthly,Lũy kế hàng tháng
Accumulated Values,Giá trị lũy kế
Accumulated Values in Group Company,Giá trị lũy kế trong công ty nhóm
Achieved ({}),Đạt được ({})
Action,Hành động
Action Initialised,Hành động đã được khởi tạo
Actions,Các hành động
Active,Hoạt động
Activity Cost exists for Employee {0} against Activity Type - {1},Chi phí hoạt động đã tồn tại cho Nhân viên {0} đối với Loại hoạt động - {1}
Activity Cost per Employee,Chi phí hoạt động trên mỗi nhân viên
Activity Type,Loại hoạt động
Actual Cost,Chi phí thực tế
Actual Delivery Date,Ngày giao hàng thực tế
Actual Qty,SL thực tế
Actual Qty is mandatory,SL thực tế là bắt buộc
Actual Qty {0} / Waiting Qty {1},SL thực tế {0} / SL chờ {1}
Actual Qty: Quantity available in the warehouse.,SL thực tế: Số lượng có sẵn trong kho.
Actual qty in stock,SL thực tế trong kho
Actual type tax cannot be included in Item rate in row {0},Thuế loại thực tế không thể bao gồm trong giá vật tư ở dòng {0}
Add,Thêm
Add / Edit Prices,Thêm / Sửa giá
Add Comment,Thêm bình luận
Add Customers,Thêm khách hàng
Add Employees,Thêm nhân viên
Add Item,Thêm vật tư
Add Items,Thêm vật tư
Add Leads,Thêm khách hàng tiềm năng
Add Multiple Tasks,Thêm nhiều nhiệm vụ
Add Sales Partners,Thêm đối tác bán hàng
Add Serial No,Thêm Số Serial
Add Students,Thêm học sinh/sinh viên
Add Suppliers,Thêm nhà cung cấp
Add Time Slots,Thêm khoảng thời gian
Add Timesheets,Thêm bảng chấm công
Add Timeslots,Thêm khoảng thời gian
Add Users to Marketplace,Thêm người dùng vào Thị trường
Add a new address,Thêm địa chỉ mới
Add cards or custom sections on homepage,Thêm thẻ hoặc phần tùy chỉnh trên trang chủ
Add more items or open full form,Thêm vật tư hoặc mở biểu mẫu đầy đủ
Add notes,Thêm ghi chú
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,Thêm phần còn lại của tổ chức của bạn làm người dùng của bạn. Bạn cũng có thể mời Khách hàng vào cổng thông tin của bạn bằng cách thêm họ từ Danh bạ
Add/Remove Recipients,Thêm/Xóa người nhận
Added,Đã thêm
Added {0} users,Đã thêm {0} người dùng
Additional Salary Component Exists.,Thành phần lương bổ sung đã tồn tại.
Address,Địa chỉ
Address Line 2,Dòng địa chỉ 2
Address Name,Tên địa chỉ
Address Title,Tiêu đề địa chỉ
Address Type,Loại địa chỉ
Administrative Expenses,Chi phí hành chính
Administrative Officer,Cán bộ hành chính
Administrator,Quản trị viên
Admission,Tuyển sinh/Nhập học
Admission and Enrollment,Tuyển sinh và đăng ký
Admissions for {0},Tuyển sinh cho {0}
Admit,Nhập học/Chấp nhận
Admitted,Đã nhập học/Đã chấp nhận
Advance Amount,Số tiền tạm ứng
Advance Payments,Các khoản tạm ứng
Advance account currency should be same as company currency {0},Tiền tệ tài khoản tạm ứng phải giống với tiền tệ công ty {0}
Advance amount cannot be greater than {0} {1},Số tiền tạm ứng không thể lớn hơn {0} {1}
Advertising,Quảng cáo
Aerospace,Hàng không vũ trụ
Against,Đối với / Dựa trên
Against Account,Đối với tài khoản
Against Journal Entry {0} does not have any unmatched {1} entry,Bút toán nhật ký {0} không có bất kỳ mục nhập {1} không khớp nào
Against Journal Entry {0} is already adjusted against some other voucher,Bút toán nhật ký {0} đã được điều chỉnh đối với chứng từ khác
Against Supplier Invoice {0} dated {1},Đối với Hóa đơn Nhà cung cấp {0} ngày {1}
Against Voucher,Đối với chứng từ
Against Voucher Type,Đối với loại chứng từ
Age,Tuổi / Thời gian
Age (Days),Tuổi (Ngày)
Ageing Based On,Phân loại theo thời gian dựa trên
Ageing Range 1,Khoảng thời gian phân loại 1
Ageing Range 2,Khoảng thời gian phân loại 2
Ageing Range 3,Khoảng thời gian phân loại 3
Agriculture,Nông nghiệp
Agriculture (beta),Nông nghiệp (beta)
Airline,Hàng không
All Accounts,Tất cả tài khoản
All Addresses.,Tất cả địa chỉ.
All Assessment Groups,Tất cả nhóm đánh giá
All BOMs,Tất cả Định mức vật tư
All Contacts.,Tất cả liên hệ.
All Customer Groups,Tất cả nhóm khách hàng
All Day,Cả ngày
All Departments,Tất cả phòng ban
All Healthcare Service Units,Tất cả Đơn vị dịch vụ y tế
All Item Groups,Tất cả nhóm vật tư
All Products,Tất cả sản phẩm
All Products or Services.,Tất cả sản phẩm hoặc dịch vụ.
All Student Admissions,Tất cả các hồ sơ tuyển sinh học sinh/sinh viên
All Supplier Groups,Tất cả nhóm nhà cung cấp
All Supplier scorecards.,Tất cả thẻ điểm nhà cung cấp.
All Territories,Tất cả khu vực
All Warehouses,Tất cả kho
All communications including and above this shall be moved into the new Issue,Tất cả các thông tin liên lạc bao gồm và trên mức này sẽ được chuyển vào Vấn đề mới
All items have already been transferred for this Work Order.,Tất cả các vật tư đã được chuyển cho Lệnh sản xuất này.
All other ITC,Tất cả ITC khác
All the mandatory Task for employee creation hasn't been done yet.,Tất cả các Nhiệm vụ bắt buộc để tạo nhân viên vẫn chưa được thực hiện.
Allocate Payment Amount,Phân bổ số tiền thanh toán
Allocated Amount,Số tiền đã phân bổ
Allocating leaves...,Đang phân bổ nghỉ phép...
Already record exists for the item {0},Bản ghi đã tồn tại cho vật tư {0}
"Already set default in pos profile {0} for user {1}, kindly disabled default","Đã đặt mặc định trong hồ sơ POS {0} cho người dùng {1}, vui lòng tắt mặc định"
Alternate Item,Vật tư thay thế
Alternative item must not be same as item code,Vật tư thay thế không được giống với mã vật tư
Amended From,Đã sửa từ
Amount,Số tiền
Amount After Depreciation,Số tiền sau khấu hao
Amount of Integrated Tax,Số tiền thuế tích hợp
Amount of TDS Deducted,Số tiền TDS đã khấu trừ
Amount should not be less than zero.,Số tiền không được nhỏ hơn không.
Amount to Bill,Số tiền cần lập hóa đơn
Amount {0} {1} against {2} {3},Số tiền {0} {1} đối với {2} {3}
Amount {0} {1} deducted against {2},Số tiền {0} {1} đã khấu trừ đối với {2}
Amount {0} {1} transferred from {2} to {3},Số tiền {0} {1} đã chuyển từ {2} sang {3}
Amount {0} {1} {2} {3},Số tiền {0} {1} {2} {3}
Amt,Số tiền
"An Item Group exists with same name, please change the item name or rename the item group","Một nhóm vật tư có tên tương tự đã tồn tại, vui lòng thay đổi tên vật tư hoặc đổi tên nhóm vật tư"
An academic term with this 'Academic Year' {0} and 'Term Name' {1} already exists. Please modify these entries and try again.,Một kỳ học với 'Năm học' {0} và 'Tên kỳ' {1} này đã tồn tại. Vui lòng sửa đổi các mục nhập này và thử lại.
An error occurred during the update process,Đã xảy ra lỗi trong quá trình cập nhật
"An item exists with same name ({0}), please change the item group name or rename the item","Một vật tư có tên tương tự ({0}) đã tồn tại, vui lòng thay đổi tên nhóm vật tư hoặc đổi tên vật tư"
Analyst,Chuyên viên phân tích
Annual Billing: {0},Doanh thu hàng năm: {0}
Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4},Một bản ghi Ngân sách khác '{0}' đã tồn tại đối với {1} '{2}' và tài khoản '{3}' cho năm tài chính {4}
Another Period Closing Entry {0} has been made after {1},Một Bút toán Khóa sổ kỳ {0} khác đã được lập sau {1}
Another Sales Person {0} exists with the same Employee id,Một Nhân viên bán hàng {0} khác tồn tại với cùng ID nhân viên
Antibiotic,Thuốc kháng sinh
Apparel & Accessories,Quần áo & Phụ kiện
Applicable For,Áp dụng cho
"Applicable if the company is SpA, SApA or SRL","Áp dụng nếu công ty là SpA, SApA hoặc SRL (các loại hình công ty cổ phần, công ty trách nhiệm hữu hạn trong luật Ý)"
Applicable if the company is a limited liability company,Áp dụng nếu công ty là công ty trách nhiệm hữu hạn
Applicable if the company is an Individual or a Proprietorship,Áp dụng nếu công ty là cá nhân hoặc doanh nghiệp tư nhân
Application of Funds (Assets),Nguồn vốn (Tài sản)
Applied,Đã áp dụng
Appointment Confirmation,Xác nhận cuộc hẹn
Appointment Duration (mins),Thời lượng cuộc hẹn (phút)
Appointment Type,Loại cuộc hẹn
Appointment {0} and Sales Invoice {1} cancelled,Cuộc hẹn {0} và Hóa đơn bán hàng {1} đã bị hủy
Appointments and Encounters,Các cuộc hẹn và lượt khám
Appointments and Patient Encounters,Các cuộc hẹn và lượt khám bệnh nhân
Appraisal {0} created for Employee {1} in the given date range,Đánh giá {0} đã được tạo cho Nhân viên {1} trong khoảng thời gian đã cho
Approving Role cannot be same as role the rule is Applicable To,Vai trò phê duyệt không thể giống với vai trò mà quy tắc áp dụng
Approving User cannot be same as user the rule is Applicable To,Người dùng phê duyệt không thể giống với người dùng mà quy tắc áp dụng
"Apps using current key won't be able to access, are you sure?","Các ứng dụng sử dụng khóa hiện tại sẽ không thể truy cập, bạn có chắc chắn không?"
Are you sure you want to cancel this appointment?,Bạn có chắc chắn muốn hủy cuộc hẹn này không?
Arrear,Khoản nợ đọng
As Examiner,Với tư cách là Giám khảo
As On Date,Tính đến ngày
As Supervisor,Với tư cách là Giám sát viên
As per rules 42 & 43 of CGST Rules,Theo quy tắc 42 & 43 của Quy tắc CGST
As per section 17(5),Theo điều 17(5)
Assessment,Đánh giá
Assessment Criteria,Tiêu chí đánh giá
Assessment Group,Nhóm đánh giá
Assessment Group:,Nhóm đánh giá:
Assessment Plan,Kế hoạch đánh giá
Assessment Plan Name,Tên kế hoạch đánh giá
Assessment Report,Báo cáo đánh giá
Assessment Reports,Các báo cáo đánh giá
Assessment Result,Kết quả đánh giá
Assessment Result record {0} already exists.,Bản ghi Kết quả đánh giá {0} đã tồn tại.
Asset,Tài sản
Asset Category,Loại tài sản
Asset Category is mandatory for Fixed Asset item,Loại tài sản là bắt buộc đối với vật tư Tài sản cố định
Asset Maintenance,Bảo trì tài sản
Asset Movement,Điều chuyển tài sản
Asset Movement record {0} created,Bản ghi Điều chuyển tài sản {0} đã được tạo
Asset Name,Tên tài sản
Asset Received But Not Billed,Tài sản đã nhận nhưng chưa lập hóa đơn
Asset Value Adjustment,Điều chỉnh giá trị tài sản
"Asset cannot be cancelled, as it is already {0}","Tài sản không thể hủy, vì nó đã {0}"
Asset scrapped via Journal Entry {0},Tài sản đã thanh lý thông qua Bút toán nhật ký {0}
"Asset {0} cannot be scrapped, as it is already {1}","Tài sản {0} không thể thanh lý, vì nó đã {1}"
Asset {0} does not belong to company {1},Tài sản {0} không thuộc về công ty {1}
Asset {0} must be submitted,Tài sản {0} phải được nộp
Assets,Tài sản
Assign To,Giao cho
Associate,Cộng tác viên / Liên kết
At least one mode of payment is required for POS invoice.,Cần ít nhất một hình thức thanh toán cho hóa đơn POS.
Atleast one item should be entered with negative quantity in return document,Ít nhất một vật tư phải được nhập với số lượng âm trong chứng từ trả lại
Atleast one of the Selling or Buying must be selected,Ít nhất một trong số Bán hoặc Mua phải được chọn
Atleast one warehouse is mandatory,Ít nhất một kho là bắt buộc
Attach Logo,Đính kèm Logo
Attachment,Tệp đính kèm
Attachments,Các tệp đính kèm
Attendance can not be marked for future dates,Điểm danh không thể đánh dấu cho các ngày trong tương lai
Attendance date can not be less than employee's joining date,Ngày điểm danh không thể nhỏ hơn ngày gia nhập của nhân viên
Attendance for employee {0} is already marked,Điểm danh cho nhân viên {0} đã được đánh dấu
Attendance has been marked successfully.,Điểm danh đã được đánh dấu thành công.
Attendance not submitted for {0} as {1} on leave.,Điểm danh không được nộp cho {0} vì {1} đang nghỉ phép.
Attribute table is mandatory,Bảng thuộc tính là bắt buộc
Attribute {0} selected multiple times in Attributes Table,Thuộc tính {0} được chọn nhiều lần trong Bảng thuộc tính
Authorized Signatory,Người ký ủy quyền
Auto Material Requests Generated,Yêu cầu vật tư tự động đã được tạo
Auto Repeat,Tự động lặp lại
Auto repeat document updated,Tài liệu tự động lặp lại đã được cập nhật
Automotive,Ô tô
Available,Có sẵn
Available Qty,Số lượng có sẵn
Available Selling,Có thể bán
Available for use date is required,Ngày có sẵn để sử dụng là bắt buộc
Available slots,Các khoảng thời gian có sẵn
Available {0},Có sẵn {0}
Available-for-use Date should be after purchase date,Ngày có sẵn để sử dụng phải sau ngày mua
Average Age,Tuổi trung bình
Average Rate,Giá trung bình
Avg Daily Outgoing,Lượng xuất kho trung bình hàng ngày
Avg. Buying Price List Rate,Tỷ lệ giá mua trung bình
Avg. Selling Price List Rate,Tỷ lệ giá bán trung bình
Avg. Selling Rate,Tỷ lệ bán trung bình
BOM,BOM (Định mức vật tư)
BOM Browser,Trình duyệt BOM
BOM No,Số BOM
BOM Rate,Tỷ lệ BOM
BOM Stock Report,Báo cáo kho BOM
BOM and Manufacturing Quantity are required,BOM và số lượng sản xuất là bắt buộc
BOM does not contain any stock item,BOM không chứa bất kỳ vật tư lưu kho nào
BOM {0} does not belong to Item {1},BOM {0} không thuộc về Vật tư {1}
BOM {0} must be active,BOM {0} phải đang hoạt động
BOM {0} must be submitted,BOM {0} phải được nộp
Balance,Số dư
Balance (Dr - Cr),Số dư (Nợ - Có)
Balance ({0}),Số dư ({0})
Balance Qty,Số lượng còn lại
Balance Sheet,Bảng cân đối kế toán
Balance Value,Giá trị số dư
Balance for Account {0} must always be {1},Số dư cho Tài khoản {0} phải luôn là {1}
Bank,Ngân hàng
Bank Account,Tài khoản ngân hàng
Bank Accounts,Các tài khoản ngân hàng
Bank Draft,Hối phiếu ngân hàng
Bank Name,Tên ngân hàng
Bank Overdraft Account,Tài khoản thấu chi ngân hàng
Bank Reconciliation,Đối chiếu ngân hàng
Bank Reconciliation Statement,Bảng đối chiếu ngân hàng
Bank Statement,Sao kê ngân hàng
Bank Statement Settings,Cài đặt sao kê ngân hàng
Bank Statement balance as per General Ledger,Số dư sao kê ngân hàng theo Sổ cái chung
Bank account cannot be named as {0},Tài khoản ngân hàng không thể đặt tên là {0}
Bank/Cash transactions against party or for internal transfer,Các giao dịch tiền mặt/ngân hàng đối với bên hoặc để chuyển khoản nội bộ
Banking,Ngân hàng
Banking and Payments,Ngân hàng và thanh toán
Barcode {0} already used in Item {1},Mã vạch {0} đã được sử dụng trong Vật tư {1}
Barcode {0} is not a valid {1} code,Mã vạch {0} không phải là mã {1} hợp lệ
Base URL,URL cơ sở
Based On,Dựa trên
Based On Payment Terms,Dựa trên Điều khoản thanh toán
Batch,Lô
Batch Entries,Các mục nhập lô
Batch ID is mandatory,ID lô là bắt buộc
Batch Inventory,Kiểm kê lô
Batch Name,Tên lô
Batch No,Số lô
Batch number is mandatory for Item {0},Số lô là bắt buộc đối với Vật tư {0}
Batch {0} of Item {1} has expired.,Lô {0} của Vật tư {1} đã hết hạn.
Batch {0} of Item {1} is disabled.,Lô {0} của Vật tư {1} đã bị vô hiệu hóa.
Batch:,Lô:
Batches,Các lô
Become a Seller,Trở thành người bán
Bill,Hóa đơn
Bill Date,Ngày hóa đơn
Bill No,Số hóa đơn
Bill of Materials,Định mức nguyên vật liệu
Bill of Materials (BOM),Định mức nguyên vật liệu (BOM)
Billable Hours,Giờ có thể lập hóa đơn
Billed,Đã lập hóa đơn
Billed Amount,Số tiền đã lập hóa đơn
Billing Address,Địa chỉ thanh toán
Billing Address is same as Shipping Address,Địa chỉ thanh toán giống với Địa chỉ giao hàng
Billing Amount,Số tiền thanh toán
Billing Status,Trạng thái thanh toán
Billing currency must be equal to either default company's currency or party account currency,Tiền tệ thanh toán phải bằng tiền tệ mặc định của công ty hoặc tiền tệ tài khoản của bên
Bills raised by Suppliers.,Các hóa đơn do Nhà cung cấp lập.
Bills raised to Customers.,Các hóa đơn đã lập cho Khách hàng.
Biotechnology,Công nghệ sinh học
Black,Màu đen
Blanket Orders from Costumers.,Đơn đặt hàng khung từ Khách hàng.
Block Invoice,Chặn hóa đơn
Boms,Các BOM
Both Trial Period Start Date and Trial Period End Date must be set,Cả Ngày bắt đầu thời gian dùng thử và Ngày kết thúc thời gian dùng thử đều phải được đặt
Both Warehouse must belong to same Company,Cả Kho phải thuộc cùng một Công ty
Branch,Chi nhánh
Broadcasting,Phát sóng
Brokerage,Phí môi giới
Browse BOM,Duyệt BOM
Budget Against,Ngân sách đối với
Budget List,Danh sách ngân sách
Budget Variance Report,Báo cáo biến động ngân sách
Budget cannot be assigned against Group Account {0},Ngân sách không thể được gán cho Tài khoản nhóm {0}
"Budget cannot be assigned against {0}, as it's not an Income or Expense account","Ngân sách không thể được gán cho {0}, vì đó không phải là tài khoản Thu nhập hoặc Chi phí"
Buildings,Các tòa nhà
Bundle items at time of sale.,Đóng gói vật tư tại thời điểm bán hàng.
Business Development Manager,Giám đốc phát triển kinh doanh
Buy,Mua
Buying,Mua hàng
Buying Amount,Số tiền mua
Buying Price List,Bảng giá mua
Buying Rate,Giá mua
"Buying must be checked, if Applicable For is selected as {0}","Mua phải được chọn, nếu Áp dụng cho được chọn là {0}"
By {0},Bởi {0}
Bypass credit check at Sales Order,Bỏ qua kiểm tra tín dụng tại Đơn bán hàng
C-Form records,Các bản ghi C-Form
C-form is not applicable for Invoice: {0},C-form không áp dụng cho Hóa đơn: {0}
CEO,CEO
CESS Amount,Số tiền CESS
CGST Amount,Số tiền CGST
CRM,CRM
CWIP Account,Tài khoản CWIP
Calculated Bank Statement balance,Số dư sao kê ngân hàng đã tính toán
Campaign,Chiến dịch
Can be approved by {0},Có thể được phê duyệt bởi {0}
"Can not filter based on Account, if grouped by Account","Không thể lọc dựa trên Tài khoản, nếu được nhóm theo Tài khoản"
"Can not filter based on Voucher No, if grouped by Voucher","Không thể lọc dựa trên Số chứng từ, nếu được nhóm theo Chứng từ"
"Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}","Không thể đánh dấu Hồ sơ bệnh nhân nội trú đã xuất viện, có các Hóa đơn chưa thanh toán {0}"
Can only make payment against unbilled {0},Chỉ có thể thanh toán đối với {0} chưa được lập hóa đơn
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',Chỉ có thể tham chiếu dòng nếu loại phí là 'Trên số tiền dòng trước' hoặc 'Tổng dòng trước'
"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method","Không thể thay đổi phương pháp định giá, vì có các giao dịch đối với một số vật tư không có phương pháp định giá riêng"
Can't create standard criteria. Please rename the criteria,Không thể tạo tiêu chí chuẩn. Vui lòng đổi tên tiêu chí
Cancel,Hủy
Cancel Material Visit {0} before cancelling this Warranty Claim,Hủy Chuyến thăm vật tư {0} trước khi hủy Yêu cầu bảo hành này
Cancel Material Visits {0} before cancelling this Maintenance Visit,Hủy Chuyến thăm vật tư {0} trước khi hủy Chuyến thăm bảo trì này
Cancel Subscription,Hủy đăng ký
Cancel the journal entry {0} first,Hủy bút toán nhật ký {0} trước
Canceled,Đã hủy
"Cannot Submit, Employees left to mark attendance","Không thể nộp, nhân viên chưa điểm danh"
Cannot be a fixed asset item as Stock Ledger is created.,Không thể là vật tư tài sản cố định vì Sổ cái kho đã được tạo.
Cannot cancel because submitted Stock Entry {0} exists,Không thể hủy vì Phiếu nhập kho {0} đã nộp tồn tại
Cannot cancel transaction for Completed Work Order.,Không thể hủy giao dịch cho Lệnh sản xuất đã hoàn thành.
Cannot cancel {0} {1} because Serial No {2} does not belong to the warehouse {3},Không thể hủy {0} {1} vì Số Serial {2} không thuộc về kho {3}
Cannot change Attributes after stock transaction. Make a new Item and transfer stock to the new Item,Không thể thay đổi Thuộc tính sau giao dịch kho. Hãy tạo một Vật tư mới và chuyển kho sang Vật tư mới
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,Không thể thay đổi Ngày bắt đầu năm tài chính và Ngày kết thúc năm tài chính sau khi năm tài chính được lưu.
Cannot change Service Stop Date for item in row {0},Không thể thay đổi Ngày dừng dịch vụ cho vật tư ở dòng {0}
Cannot change Variant properties after stock transaction. You will have to make a new Item to do this.,Không thể thay đổi thuộc tính Biến thể sau giao dịch kho. Bạn sẽ phải tạo một Vật tư mới để thực hiện điều này.
"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.","Không thể thay đổi tiền tệ mặc định của công ty, vì có các giao dịch hiện có. Các giao dịch phải được hủy để thay đổi tiền tệ mặc định."
Cannot change status as student {0} is linked with student application {1},Không thể thay đổi trạng thái vì học sinh/sinh viên {0} được liên kết với hồ sơ tuyển sinh học sinh/sinh viên {1}
Cannot convert Cost Center to ledger as it has child nodes,Không thể chuyển đổi Trung tâm chi phí thành sổ cái vì nó có các nút con
Cannot covert to Group because Account Type is selected.,Không thể chuyển đổi thành Nhóm vì Loại tài khoản đã được chọn.
Cannot create Retention Bonus for left Employees,Không thể tạo Tiền thưởng giữ chân cho Nhân viên đã nghỉ việc
Cannot create a Delivery Trip from Draft documents.,Không thể tạo Chuyến giao hàng từ các tài liệu Nháp.
Cannot deactivate or cancel BOM as it is linked with other BOMs,Không thể hủy kích hoạt hoặc hủy BOM vì nó được liên kết với các BOM khác
"Cannot declare as lost, because Quotation has been made.","Không thể khai báo là mất, vì Báo giá đã được lập."
Cannot deduct when category is for 'Valuation' or 'Valuation and Total',Không thể khấu trừ khi loại là 'Định giá' hoặc 'Định giá và Tổng'
Cannot deduct when category is for 'Valuation' or 'Vaulation and Total',Không thể khấu trừ khi loại là 'Định giá' hoặc 'Định giá và Tổng'
"Cannot delete Serial No {0}, as it is used in stock transactions","Không thể xóa Số Serial {0}, vì nó được sử dụng trong các giao dịch kho"
Cannot enroll more than {0} students for this student group.,Không thể ghi danh hơn {0} học sinh/sinh viên cho nhóm học sinh/sinh viên này.
Cannot produce more Item {0} than Sales Order quantity {1},Không thể sản xuất Vật tư {0} nhiều hơn số lượng Đơn bán hàng {1}
Cannot promote Employee with status Left,Không thể thăng chức Nhân viên có trạng thái Đã nghỉ việc
